show_id,genres
64713,Western
42946,Comedy
42946,Drama
31142,Drama
31820,Drama
31820,Comedy
38091,
70011,Documentary
103918,
247283,Comedy
247283,Mystery
37746,Animation
37746,Comedy
32776,Drama
32776,Crime
158785,Animation
35460,Action & Adventure
35460,Animation
35460,Sci-Fi & Fantasy
37599,Animation
37599,Comedy
34603,Drama
36282,
32843,Comedy
19739,Animation
19739,Kids
42409,Animation
42409,Comedy
84636,Drama
32310,
34535,Animation
34535,Mystery
34535,Kids
32085,Drama
32085,Comedy
20021,Drama
88778,Crime
88778,Drama
127308,Comedy
127308,Family
127308,Sci-Fi & Fantasy
127308,Animation
51666,Talk
51666,Comedy
32547,Comedy
32547,Family
119187,Comedy
244223,
35308,Documentary
46668,Drama
46668,Animation
117684,Drama
33300,Drama
33300,Comedy
32927,Reality
44670,Drama
36111,Crime
36111,Documentary
108356,Talk
34604,Comedy
33160,
223662,Sci-Fi & Fantasy
223662,Comedy
223662,Drama
33150,Drama
46523,Drama
203858,Comedy
203858,Family
33054,Reality
37834,Drama
37834,Comedy
32590,Reality
33273,Crime
33273,Drama
33844,Drama
33844,Sci-Fi & Fantasy
226525,
51631,Crime
51631,Drama
252845,
32652,Comedy
84263,Drama
45403,Action & Adventure
45403,Animation
42747,Reality
33101,Reality
25979,Documentary
25979,Crime
25979,Reality
44316,Animation
44316,Drama
44316,Action & Adventure
71043,Documentary
71043,Comedy
39532,Documentary
39532,Comedy
39532,Reality
42411,Animation
42411,Drama
38303,Animation
38303,Drama
32873,Documentary
32873,Reality
157697,Comedy
67508,Drama
61104,Soap
61104,Drama
73385,
33094,Comedy
54456,Comedy
54456,Crime
37555,Sci-Fi & Fantasy
37555,Animation
37555,Action & Adventure
37555,Comedy
37555,Drama
32938,
93845,Animation
93845,Sci-Fi & Fantasy
93845,Action & Adventure
197221,Animation
197221,Comedy
197221,Sci-Fi & Fantasy
80855,Action & Adventure
80855,Crime
80855,Mystery
35090,Family
35090,Drama
45445,Comedy
32766,Comedy
59298,Reality
258121,Comedy
36907,Reality
36907,Comedy
32552,Drama
32552,Mystery
32552,Sci-Fi & Fantasy
38199,Comedy
38199,Drama
55334,Comedy
55334,Drama
32563,Drama
36344,
157916,Reality
203398,Crime
121850,Drama
121850,Family
46705,Drama
46705,Crime
38926,Comedy
38926,Action & Adventure
32220,Comedy
32220,Drama
40441,Comedy
35461,Animation
35461,Comedy
35461,Sci-Fi & Fantasy
35063,
37575,Sci-Fi & Fantasy
37575,Animation
37575,Comedy
76917,
64162,Documentary
91423,Comedy
80597,Drama
34480,Talk
32609,Documentary
110786,
34409,Drama
220730,Drama
220730,War & Politics
220730,Action & Adventure
52556,Drama
52998,Soap
52998,Drama
135662,Drama
153325,Drama
153325,Mystery
48488,Comedy
48488,Sci-Fi & Fantasy
48488,Drama
84076,Drama
31663,Reality
262123,
33918,Crime
33918,Drama
33918,Mystery
59898,
29702,
30873,Animation
30873,Documentary
30873,Comedy
31977,Comedy
38760,Comedy
95628,Drama
95628,Family
99800,Comedy
32125,Comedy
37581,Drama
52229,Action & Adventure
52229,Drama
96731,Drama
96731,War & Politics
79872,Drama
18853,Drama
18853,Comedy
135967,Mystery
135967,Soap
196034,Animation
196034,Kids
196034,Sci-Fi & Fantasy
196034,Mystery
196034,Action & Adventure
57707,Comedy
57707,Drama
33925,Drama
117299,Reality
248286,Drama
35301,Drama
18660,Drama
18660,Mystery
33200,
107667,Action & Adventure
107667,Drama
32374,Documentary
90088,Documentary
59861,Comedy
59861,Drama
32516,Comedy
217458,Action & Adventure
236489,
39808,Comedy
39808,Drama
45976,Crime
45976,Drama
45976,Mystery
37131,Crime
37131,Drama
39305,Drama
39305,Soap
33002,Comedy
33047,Drama
195415,War & Politics
40732,Soap
32507,Drama
70504,Documentary
106507,Drama
36196,Documentary
45812,Drama
114802,Drama
31794,Comedy
196645,
116522,Reality
32460,Documentary
32460,Drama
32828,Drama
32891,Drama
32891,Family
32891,Comedy
32891,Soap
33836,Drama
33836,Comedy
33836,Sci-Fi & Fantasy
41302,Animation
41302,Kids
32800,Drama
32800,Action & Adventure
32800,Crime
33978,Comedy
231562,Drama
231562,Family
231562,Soap
83581,Drama
72254,Drama
72254,Mystery
32504,Drama
69481,
125050,Drama
110129,Drama
110129,Mystery
37676,Drama
37676,Family
85305,Comedy
35287,Drama
95153,Documentary
36729,Animation
36729,Comedy
49436,
41607,Drama
33405,Comedy
33405,Drama
37391,
253442,Talk
37102,Animation
37102,Comedy
51157,Drama
51157,Mystery
218045,
32056,Comedy
41593,Drama
46559,Mystery
46559,Drama
46559,Comedy
72658,Drama
72658,Soap
31548,Animation
31548,Comedy
237779,Animation
237779,Comedy
118362,Documentary
118362,Reality
118362,Talk
35389,Drama
32786,Mystery
32786,Soap
32786,Sci-Fi & Fantasy
119942,Documentary
123355,Reality
68637,Animation
68637,Comedy
65545,Drama
37211,Documentary
201718,Family
201718,Drama
36832,
41326,Drama
46086,Comedy
37038,
71202,Drama
71202,Soap
87618,Mystery
87618,Drama
58110,Sci-Fi & Fantasy
58110,Animation
58110,Family
46251,Comedy
34253,Comedy
34011,Drama
32298,Comedy
32298,Drama
32298,Unknown
63103,Comedy
118968,Animation
118968,Action & Adventure
118968,Sci-Fi & Fantasy
30800,News
128769,Animation
46374,Action & Adventure
46374,Animation
46374,Drama
32418,Comedy
111253,Comedy
42299,Action & Adventure
42299,Drama
102824,Comedy
102824,Drama
131281,Drama
32245,Drama
34359,Animation
34359,Action & Adventure
34359,Comedy
35728,Drama
214781,Comedy
214781,Family
90432,Drama
90432,Family
58255,Drama
38850,Drama
38850,Action & Adventure
37835,Comedy
37835,Drama
34018,Drama
204340,Drama
204340,Mystery
79428,Drama
79428,Mystery
31076,Drama
31076,Comedy
31076,Documentary
48324,Comedy
48324,Drama
80123,Comedy
255953,Reality
216256,
48500,Drama
31920,Reality
37815,Talk
57138,Drama
37054,Comedy
128705,Drama
32038,Drama
32038,Comedy
195307,Animation
109346,Drama
34928,
34022,
203875,
195740,Drama
111295,Drama
42542,Documentary
37344,
37220,Reality
43430,
82429,Comedy
82429,Mystery
219559,
7171,Comedy
